,static_text,log_level,project,log_level_encoded
3860,ReplicationSourceWorker * terminated,info,HBase,1
3862,Failed to add hfile references in the replication queue.,error,HBase,0
3863,$$$Empty Message$$$,info,HBase,1
3864,"Current list of sinks is out of date or empty, updating",info,HBase,1
3870,Unable to accept edit because:,error,HBase,0
3872,Our Quorum: ,info,HBase,1
3873,No tables with a configured replication peer were found.,info,HBase,1
3874,Replicated Tables: ,info,HBase,1
3875,Replication is enabled but no peer configuration was found.,info,HBase,1
3876,"Found [--distributed], will poll each RegionServer.",info,HBase,1
3886,ZooKeeper initialization failed,error,HBase,0
3887,Skipping permission cache refresh because writable data is empty,info,HBase,1
3890,Failed parse of ACL tag in cell ,error,HBase,0
3891,$$$Empty Message$$$,error,HBase,0
3893,Error reading data from zookeeper,error,HBase,0
3894,Error reading data from zookeeper for node ,error,HBase,0
3895,Error reading permissions writables,error,HBase,0
3897,Error reading data from zookeeper for path ,error,HBase,0
3899,Failed parsing permissions for table ' | ' from zk,error,HBase,0
3901,Failed updating permissions for entry ' | ',error,HBase,0
3903,Failed deleting acl node of table ' | ',error,HBase,0
3905,Failed deleting acl node of namespace ' | ',error,HBase,0
3912,No permissions found in  |  for acl entry ,info,HBase,1
3914,Failed updating permissions mirror for ' | null | ',error,HBase,0
3918,Exception while getting cells to calculate covering permission,error,HBase,0
3920,A minimum HFile version of 3 is required to persist cell ACLs. Consider setting hfile.format.version accordingly.,info,HBase,1
3922, entry deleted in  |  table.,info,HBase,1
3923,NULL region from RegionCoprocessorEnvironment in preOpen(),error,HBase,0
3924,NULL region from RegionCoprocessorEnvironment in postOpen(),error,HBase,0
3932,Error occurred while retrieving group for ,error,HBase,0
3936,ZooKeeper initialization failed,error,HBase,0
3937,ZKWatcher is abort,error,HBase,0
3939,Thread leaderElector [ | : | ] is started,info,HBase,1
3945,Skipping removeExpiredKeys() because not running as master.,info,HBase,1
3947,Skipping rollCurrentKey() because not running as master.,info,HBase,1
3948,"Stopping leader election, because: ",info,HBase,1
3950,Error reading data from zookeeper,error,HBase,0
3951,Invalid znode name for key ID ' | ',error,HBase,0
3953,Error reading data from zookeeper,error,HBase,0
3954,Error reading key writables,error,HBase,0
3955,Error reading data from zookeeper,error,HBase,0
3957,Failed reading new secret key for id ' | ' from zk,error,HBase,0
3958,Non-existent znode  |  for key ,error,HBase,0
3959,Failed removing znode  |  for key ,error,HBase,0
3960,Unable to synchronize master key  |  to znode ,error,HBase,0
3961,Unable to update master key  |  in znode ,error,HBase,0
3962,Error reading data from zookeeper,error,HBase,0
3964,Failed to get token for ,error,HBase,0
3965,Use the existing token: ,info,HBase,1
3967,Error creating VisibilityLabelsCache,error,HBase,0
3969,$$$Empty Message$$$,error,HBase,0
3974,Error in isDeleted() check! Will treat cell as not deleted,error,HBase,0
3976,ZooKeeper initialization failed,error,HBase,0
3978,Error in isDeleted() check! Will treat cell as not deleted,error,HBase,0
3980,Exception while reading the visibility labels from the cell. The replication  | would happen as per the existing format and not as  | string type for the cell  | .,error,HBase,0
3981,Failed parsing data from labels table  from zk,error,HBase,0
3982,Failed parsing data from labels table  from zk,error,HBase,0
3983,Error setting watcher on node ,error,HBase,0
3984,Error reading data from zookeeper for node ,error,HBase,0
3985,Failed writing to ,error,HBase,0
3987,Error while initializing VisibilityLabelService..,error,HBase,0
3988,User is not having required permissions to add labels,error,HBase,0
3989,$$$Empty Message$$$,error,HBase,0
3990,User is not having required permissions to set authorization,error,HBase,0
3991,$$$Empty Message$$$,error,HBase,0
3995,User is not having required permissions to clear authorization,error,HBase,0
3996,$$$Empty Message$$$,error,HBase,0
3997,starting restore table regions using snapshot=,info,HBase,1
3999,region to restore: ,info,HBase,1
4000,region to remove: ,info,HBase,1
4001,region to add: ,info,HBase,1
4002,finishing restore table regions using snapshot=,info,HBase,1
4009,clone region= |  as ,info,HBase,1
4010,Adding HFileLink  |  to table=,info,HBase,1
4015,"Restore snapshot acl to table. snapshot:  | , table: ",info,HBase,1
4017,$$$Empty Message$$$,error,HBase,0
4029,$$$Empty Message$$$,error,HBase,0
4030,$$$Empty Message$$$,error,HBase,0
4045,Using old Snapshot Format,info,HBase,1
4052,"Split occurred while grouping HFiles, retry attempt  |  with  |  files remaining to group or split",info,HBase,1
4053,Unexpected execution exception during bulk load,error,HBase,0
4054,Unexpected interrupted exception during bulk load,error,HBase,0
4059,Trying to load more than  |  hfiles to family  |  of region with start key ,error,HBase,0
4060,IOException during splitting,error,HBase,0
4061,Unexpected execution exception during splitting,error,HBase,0
4062,Unexpected interrupted exception during splitting,error,HBase,0
4063,HFile at  |  no longer fits inside a single  | region. Splitting...,info,HBase,1
4065,Successfully split into new HFiles  |  and ,info,HBase,1
4067,Trying to load hfile= |  first= |  last=,info,HBase,1
4068,"hfile  |  has no entries, skipping",info,HBase,1
4070,"Encountered unrecoverable error from region server, additional details: ",error,HBase,0
4073,hbase.bulkload.retries.retryOnIOException is disabled. Unable to recover,error,HBase,0
4074,Setting compression  |  for family ,info,HBase,1
4075,Trying to figure out region boundaries hfile= |  first= |  last=,info,HBase,1
4076,Table  |  is available!!,info,HBase,1
4077,$$$Empty Message$$$,error,HBase,0
4078,$$$Empty Message$$$,error,HBase,0
4088,$$$Empty Message$$$,error,HBase,0
4089,$$$Empty Message$$$,error,HBase,0
4090,Read from * on *,error,HBase,0
4091,Read from * on * in *ms,info,HBase,1
4092,Read from * on *,error,HBase,0
4093,Read from * on * in *ms,info,HBase,1
4094,Read from * on * failed,error,HBase,0
4095,Read from * on * * failed,error,HBase,0
4096,Read from * on * * in *ms,info,HBase,1
4097,Write to * on * failed,error,HBase,0
4098,Write to * on * * failed,error,HBase,0
4099,Write to * on * * in *ms,info,HBase,1
4102,Close table failed,error,HBase,0
4105,Close table failed,error,HBase,0
4108,Table may be deleted,error,HBase,0
4110,$$$Empty Message$$$,error,HBase,0
4111,$$$Empty Message$$$,error,HBase,0
4112,Close table failed,error,HBase,0
4113,The monitor is running too long ( | ) after timeout limit: |  will be killed itself !!,error,HBase,0
4114,"Too many failures detected, treating failure as error, failing the Canary.",error,HBase,0
4115,Initial HBaseAdmin failed...,error,HBase,0
4116,HBaseAdmin aborted,error,HBase,0
4117,-readTableTimeouts can only specify read timeouts for monitor targets passed via command line.,error,HBase,0
4118,Check canary table distribution failed!,error,HBase,0
4119,Sniff region failed!,error,HBase,0
4120,Read operation for * took *ms (Configured read timeout *ms.,error,HBase,0
4121,Read operation for * took *ms (Configured read timeout *ms.,info,HBase,1
4122,Read operation for * failed!,error,HBase,0
4123,Write operation for * took *ms. Configured write timeout *ms.,info,HBase,1
4124,Write operation for * exceeded the configured write timeout.,error,HBase,0
4125,Run regionMonitor failed,error,HBase,0
4127,Communicate with admin failed,error,HBase,0
4128,$$$Empty Message$$$,error,HBase,0
4130,"Number of live regionservers *, pre-splitting the canary table into * regions (current lower limit of regions per server is * and you can change it with config *).hbase.canary.write.perserver.regions.lowerLimit",info,HBase,1
4135,Run ZooKeeperMonitor failed!,error,HBase,0
4136,Sniff zookeeper failed!,error,HBase,0
4137,Sniff zookeeper interrupted!,error,HBase,0
4138,Run RegionServerMonitor failed!,error,HBase,0
4140,Get listTableNames failed,error,HBase,0
4141,Regionserver not serving any regions - *,error,HBase,0
4142,Sniff regionserver failed!,error,HBase,0
4143,Successfully read * regions out of * on regionserver *,info,HBase,1
4144,Sniff regionserver interrupted!,error,HBase,0
4146,Get HTables info failed,error,HBase,0
4147,"No RegionServerInfo found, regionServerPattern *",info,HBase,1
4148,"No RegionServerInfo found, regionServerName *",info,HBase,1
4149,Execution thread count=*,info,HBase,1
4150,Error running command-line tool,error,HBase,0
4151,Validating Data Block Encodings,info,HBase,1
4154,The used Data Block Encodings are compatible with HBase 2.0.,info,HBase,1
4155,Validating HFile contents under *,info,HBase,1
4156,Validating HFile contents under *,info,HBase,1
4157,"Checked * HFiles, none of them are corrupted.",info,HBase,1
4158,There are no incompatible HFiles.,info,HBase,1
4159,"Checked * HFiles, * are corrupted.",info,HBase,1
4160,Corrupted file: *,info,HBase,1
4161,Change data block encodings before upgrading. Check https://s.apache.org/prefixtree for instructions.,info,HBase,1
4162,Wrote  |  times in region ,info,HBase,1
4167,"Please give at least one -table, -class or -config parameter.",error,HBase,0
4171,Error in class '*': *.,error,HBase,0
4172,Error in class '*': *.,error,HBase,0
4173,Moving region: |  from  |  to ,info,HBase,1
4174,Retry  |  of maximum ,info,HBase,1
4175,"Region:  |  stuck on  | ,newServer=",error,HBase,0
4176,Moved Region  |  cost: | %.3f,info,HBase,1
4177,Moving region: |  from  |  to ,info,HBase,1
4178,Moved  |  from  |  to ,info,HBase,1
4179,Error Moving Region:,error,HBase,0
4180,Moving  |  regions to  |  using  |  threads.Ack mode:,info,HBase,1
4182,Region  |  is already on target server=,info,HBase,1
4183,No Regions to move....Quitting now,info,HBase,1
4184,Moving  |  regions from  |  to  |  servers using  |  threads .Ack Mode:,info,HBase,1
4187,Error while  |  regions on RegionServer ,error,HBase,0
4188,Was Not able to move region....Exiting Now,error,HBase,0
4189,Interrupted while waiting for Thread to Complete ,error,HBase,0
4190,Got Exception From Thread While moving region ,error,HBase,0
4191,Thread for moving region cancelled. Timeout for cancellation: | secs,error,HBase,0
4194,Server  | : |  is not up. Giving up.,error,HBase,0
4195,Error while reading regions from file:,error,HBase,0
4196,ERROR: Was Not able to write regions moved to output file but moved  |  regions,error,HBase,0
4198,Valid Region server targets are:,info,HBase,1
4199,Excluded Servers are,info,HBase,1
4200,Could not scan region:,error,HBase,0
4202,Exception occurred while stopping master,error,HBase,0
4203,Stopped backup Master * is stopped: *,info,HBase,1
4206,Exception occurred in HMaster.shutdown(),error,HBase,0
4207,Got InterruptedException on shutdown - not waiting anymore on region server ends,info,HBase,1
4210,Got InterruptedException on shutdown - not waiting anymore on master ends,info,HBase,1
4211,Shutdown of  | 0 |  master(s) and  | 0 |  regionserver(s)  | interrupted,info,HBase,1
4218,file system close failed: ,error,HBase,0
4220,Created version file at  |  with version=,info,HBase,1
4229,Waiting for dfs to exit safe mode...,info,HBase,1
4232,INVALID NAME ,info,HBase,1
4239,Could not get region store file map for region: ,error,HBase,0
4240,Unexpected exec exception!  Should've been caught already.  (Bug?),error,HBase,0
4241,Cannot execute getTableStoreFilePathMap for ,error,HBase,0
4245,Locality checking is underway: { Scanned Regions :  | / |  },info,HBase,1
4246,$$$Empty Message$$$,info,HBase,1
4254,$$$Empty Message$$$,info,HBase,1
4276,$$$Empty Message$$$,info,HBase,1
4286,$$$Empty Message$$$,error,HBase,0
4291,Delete Bloom filters are disabled by configuration for  |  (configuration is null),info,HBase,1
4295,Got exception in closing idle admin,info,HBase,1
4296,Got exception in closing idle connection,info,HBase,1
4297,"Unexpected: cached Connection is aborted/closed, removed from cache",info,HBase,1
4299,Region replica replication peer id=region_replica_replication not exist. Creating...,info,HBase,1
4301,Recover lease on dfs file ,info,HBase,1
4304,"Recovered lease, ",info,HBase,1
4308,"vmName= | , vmVendor= | , vmVersion=",info,HBase,1
4309,vmInputArguments=,info,HBase,1
4310,: ,info,HBase,1
4311,env:,info,HBase,1
4312,Failed to run,error,HBase,0
4320,Updated tableinfo=,info,HBase,1
4322,Failed to delete table descriptor at ,error,HBase,0
4329,None/Multiple table descriptors found for table ' | ' regions: ,error,HBase,0
4330,Table region start key was not empty.  Created new empty region:  |  ,info,HBase,1
4331,Table region end key was not empty.  Created new empty region:  |  ,info,HBase,1
4332,Plugged hole by creating new empty region:  |  ,info,HBase,1
4335,== [ | ] Attempting fix splits in overlap state.,info,HBase,1
4336,"Too many overlaps were found on this group, falling back to regular merge.",info,HBase,1
4337,"This group range is [ | ,  | ]",info,HBase,1
4338,This is a parent for this group: ,info,HBase,1
4339,Found parent: ,info,HBase,1
4340,Found potential daughter a: ,info,HBase,1
4341,Found potential daughter b: ,info,HBase,1
4342,Trying to fix parent in overlap by removing the parent.,info,HBase,1
4347,[ | ] Sidelined parent region dir  |  into ,info,HBase,1
4348,Done fixing split.,info,HBase,1
4349,"== [ | ] Merging regions into one region:  | ,",info,HBase,1
4352,[ | ] Closing region: ,info,HBase,1
4355,[ | ] Offlining region: ,info,HBase,1
4357,"[ | ] Created new empty container region:  |  to contain regions:  | ,",info,HBase,1
4358,[ | ] Merging  |  into ,info,HBase,1
4359,Closing region: ,info,HBase,1
4362,Offlining region: ,info,HBase,1
4364,Before sideline big overlapped region: ,info,HBase,1
4365,After sidelined big overlapped region:  |  to ,info,HBase,1
4368,"this is a split, log to splits",info,HBase,1
4371,Overlap merges were interrupted,error,HBase,0
4373,Waiting for overlap merges was interrupted,error,HBase,0
4374,Caught  |  during region creation,error,HBase,0
4375,Got exception in closing connection,info,HBase,1
4377,"Failed to create lock file  | , try= |  of ",info,HBase,1
4382,Finishing hbck,info,HBase,1
4383,"Failed to delete  | , try= |  of ",info,HBase,1
4386,"Another instance of hbck is fixing HBase, exiting this instance.  | [If you are sure no other instance is running, delete the lock file  |  and rerun the tool]",error,HBase,0
4387,Launching hbck,info,HBase,1
4388,Loading regioninfos HDFS,info,HBase,1
4390,Successfully exiting integrity repairs after  |  iterations,info,HBase,1
4391,Loading regionsinfo from the hbase:meta table,info,HBase,1
4392,Loading region directories from HDFS,info,HBase,1
4393,Loading region information from HDFS,info,HBase,1
4394,Checking and fixing region consistency,info,HBase,1
4401,$$$Empty Message$$$,error,HBase,0
4402,Attempting to handle orphan hdfs dir: ,info,HBase,1
4407,"Min max keys are : [ | ,  | )",info,HBase,1
4408,Creating new region : ,info,HBase,1
4409,Loading HBase regioninfo from HDFS...,info,HBase,1
4410,No integrity errors.  We are done with this phase. Glorious.,info,HBase,1
4411,Computing mapping of all store files,info,HBase,1
4412,Validating mapping using HDFS state,info,HBase,1
4413,Trying to sideline reference file  |  to ,info,HBase,1
4414,Failed to sideline reference file ,error,HBase,0
4415,Computing mapping of all link files,info,HBase,1
4416,Validating mapping using HDFS state,info,HBase,1
4417,Failed to sideline HFileLink file ,error,HBase,0
4418,Failed to sideline HFileLink backreference file ,error,HBase,0
4419,Failed to create path: ,error,HBase,0
4420,Trying to sideline file  |  to ,info,HBase,1
4424,Trying to fix empty REGIONINFO_QUALIFIER hbase:meta rows.,info,HBase,1
4425,Trying to fix orphan table error: ,info,HBase,1
4426,fixing orphan table:  |  from cache,info,HBase,1
4429,Unable to create default .tableinfo for  |  while missing column family information,error,HBase,0
4431,Failed to fix  |  OrphanTables with default .tableinfo files,error,HBase,0
4432,Handling overlap merges in parallel. set hbasefsck.overlap.merge.parallel to false to run serially.,info,HBase,1
4433,Handling overlap merges serially.  set hbasefsck.overlap.merge.parallel to true to run in parallel.,info,HBase,1
4434,Checking HBase region split map from HDFS data...,info,HBase,1
4436,Region dir is empty: ,info,HBase,1
4437,$$$Empty Message$$$,error,HBase,0
4438,Sidelining files from  |  into containing region ,info,HBase,1
4439,$$$Empty Message$$$,error,HBase,0
4441,Removing old region dir: ,info,HBase,1
4442,$$$Empty Message$$$,error,HBase,0
4443,Trying to create a new hbase.version file.,info,HBase,1
4446,$$$Empty Message$$$,error,HBase,0
4452,Deleted  |  from META,info,HBase,1
4453,Reset split parent  |  in META,info,HBase,1
4455,Offlining region ,info,HBase,1
4461,"Region  |  is in META, and in a disabled  | tabled that is not deployed",info,HBase,1
4463,"Region  |  got merge recently, its file(s) will be cleaned by CatalogJanitor later",info,HBase,1
4464,Region  |  could have been repaired |  in table integrity repair phase if -fixHdfsOrphans was |  used.,error,HBase,0
4466,Patching hbase:meta with .regioninfo: ,info,HBase,1
4467,This should have been repaired in table integrity repair phase,error,HBase,0
4468,Patching hbase:meta with with .regioninfo: ,info,HBase,1
4469,"Region  |  is a split parent in META, in HDFS,  | and not deployed on any region server. This may be transient.",info,HBase,1
4474,[ | ] Moving files from  |  into containing region ,info,HBase,1
4476,[ | ] Sidelined region dir  |  into ,info,HBase,1
4477,getTableDescriptors == tableNames => ,info,HBase,1
4479,Result=,error,HBase,0
4482,Could not load region dir,error,HBase,0
4483,Unexpected exec exception!  Should've been caught already.  (Bug?),error,HBase,0
4484,Cannot execute WorkItemHdfsDir for ,error,HBase,0
4485,Unable to read directory ,error,HBase,0
4486,Checking all hfiles for corruption,info,HBase,1
4487,Sleeping  | ms before re-checking after fix...,info,HBase,1
4489,we may need to clean some erroneous data due to bugs,info,HBase,1
4492,"Region still in transition, waiting for  | it to become assigned: ",info,HBase,1
4494,Entry  |  has no meta or hdfs region start key.,error,HBase,0
4495,Entry  |  has no meta or hdfs region start key.,error,HBase,0
4498, has no store files,info,HBase,1
4499,Including store:  |  with:  |  files for compaction for region: ,info,HBase,1
4500,Including store:  |  with:  |  files for compaction for region: ,info,HBase,1
4501, already compacted,info,HBase,1
4502,Including store:  |  for compaction for region:   |  (reference store files),info,HBase,1
4504,Server changed for region:  |  from:  |  to:  |  re-queuing request,info,HBase,1
4505,"Firing off compaction request for server:  | ,  |  total queue size left: ",info,HBase,1
4506,All compactions have completed,info,HBase,1
4507,$$$Empty Message$$$,error,HBase,0
4508,All regions major compacted successfully,info,HBase,1
4509,"No family specified, will execute for all families",info,HBase,1
4510,Initializing compaction queues for table:   |  with cf: ,info,HBase,1
4514,"Not all store files were compacted, this may be due to the regionserver not  | being aware of all store files.  Will not reattempt compacting, ",error,HBase,0
4515,Compaction failed for the following stores:  |  region: ,info,HBase,1
4516,Compaction complete for region:  |  -> cf(s): ,info,HBase,1
4537,Unexpected exception encountered,error,HBase,0
4539,"The RegionServer write ahead log provider for FileSystem implementations  | relies on the ability to call  |  for proper operation during  | component failures, but the current FileSystem does not support doing so. Please  | check the config value of ' | ' and ensure  | it points to a FileSystem mount that has suitable capabilities for output streams.",error,HBase,0
4541,cannot close log writer,error,HBase,0
4542,Call to makeQualified failed on  |  ,info,HBase,1
4545,Couldn't locate log: ,error,HBase,0
4546,Log  |  was moved to ,info,HBase,1
4547,Couldn't locate log: ,error,HBase,0
4553,Unable to mkdir *,info,HBase,1
4557,Archived processed log * to *,info,HBase,1
4570,* split writers finished; closing.,info,HBase,1
4571,Exiting thread,error,HBase,0
4573,Submitting writeThenClose of *,info,HBase,1
4574,"The RegionServer async write ahead log provider  | relies on the ability to call  |  for proper operation during  | component failures, but the current FileSystem does not support doing so. Please  | check the config value of ' | ' and ensure  | it points to a FileSystem mount that has suitable capabilities for output streams.",error,HBase,0
4583,Could not close log at *,error,HBase,0
4586,Rename * to *,info,HBase,1
4587,Could not rename * to *,error,HBase,0
4588,Couldn't close log at *,error,HBase,0
4589,Closed log  |  (wrote  |  edits in  | ms),info,HBase,1
4595,Got while writing log entry to log,error,HBase,0
4596,Instantiating RegionGroupingStrategy of type ,info,HBase,1
4597,"couldn't set up region grouping strategy, check config key hbase.wal.regiongrouping.strategy",error,HBase,0
4599,Problem shutting down wal provider ' | ': ,error,HBase,0
4601,Problem closing wal provider ' | ': ,error,HBase,0
4604,Instantiating WALProvider of type ,info,HBase,1
4605,"couldn't set up WALProvider, the configured class is ",error,HBase,0
4611,Can't open after  |  attempts and  | ms  |  for ,error,HBase,0
4613,"Splitting WAL=*, length=*",info,HBase,1
4619,$$$Empty Message$$$,info,HBase,1
4623,EOF from wal *. Continuing.,info,HBase,1
4625,Exception in run,error,HBase,0
4626,Hook closing fs=,info,HBase,1
4629,Error starting cluster,error,HBase,0
4630,Killing ,info,HBase,1
4646,Aborting ,info,HBase,1
4647,Stopping ,info,HBase,1
4648,Aborting ,info,HBase,1
4649,Stopping ,info,HBase,1
4650, *************** Result Summary *************** ,info,HBase,1
4651,$$$Empty Message$$$,info,HBase,1
4652,Running  |  with codec[ | ]  | cipher[ | ] for  |  rows.,info,HBase,1
4653,Running  |  with codec[ | ]  | cipher[ | ] for  |  rows took  | ms.,info,HBase,1
4654,Processed  |  rows.,info,HBase,1
4655,Not able to seekTo ,info,HBase,1
4656,Nonexistent row: ,info,HBase,1
4657,NOTHING FOLLOWS,info,HBase,1
4658,NOTHING FOLLOWS,info,HBase,1
4659,Shutting down due to request ' | ',info,HBase,1
4660,Test took ,info,HBase,1
4661, encoded count= |  in  | ms for encoder ,info,HBase,1
4662, decoded count= |  in  | ms for decoder ,info,HBase,1
4668,Calling ,info,HBase,1
4669,Calling ,info,HBase,1
4670,Calling ,info,HBase,1
4671,Initialized: ,info,HBase,1
4672,Started.,info,HBase,1
4673,stop: ,info,HBase,1
4674,Attempting to run a procedure.,info,HBase,1
4675,Building procedure: ,info,HBase,1
4678,Constructing a SimpleSubprocedure.,info,HBase,1
4679,Execute subprocedure on ,info,HBase,1
4680,stop: ,info,HBase,1
4681,$$$Empty Message$$$,error,HBase,0
4682,Done waiting - exec procedure for ,info,HBase,1
4683,$$$Empty Message$$$,error,HBase,0
4684,Output directory is not specified,error,HBase,0
4685,The number of keys/values not specified,error,HBase,0
4686,Key size is not specified,error,HBase,0
4687,Value size not specified,error,HBase,0
4688,the parameter of bloom filter is not specified,error,HBase,0
4689,Writing  |  key/value pairs,info,HBase,1
4690,Writing  |  meta blocks,info,HBase,1
4691,"Created *, * bytes, compression=*",info,HBase,1
4692,$$$Empty Message$$$,error,HBase,0
4693,"There is a bug in codec  |  it returned null KeyValue,",error,HBase,0
4694,There is bug in codec  | \n on element  | \n codecKv.getKeyLength()  | \n codecKv.getValueLength()  | \n codecKv.getLength()  | \n currentKv.getKeyLength()  | \n currentKv.getValueLength()  | \n codecKv.getLength()  | \n currentKV rowLength  |  familyName  |  qualifier  | \n prefix  | \n codecKv   ' | ' diff ' | ' | \n currentKv ' | ' diff ' | ',error,HBase,0
4695,Verification was successful!,info,HBase,1
4696,Starting a throughput benchmark for data block encoding codecs,info,HBase,1
4697,KV_LIMIT should not less than 1.,error,HBase,0
4698,Please specify HFile name using the f option,error,HBase,0
4699,The number of times to run each benchmark ( | ) must be greater than the number of benchmark runs to exclude  | from statistics ( | ),error,HBase,0
4700,Running benchmark  |  times.  | Excluding the first  |  times from statistics.,info,HBase,1
4702,$$$Empty Message$$$,error,HBase,0
4703,Error while closing the table ,error,HBase,0
4704,Error while closing the HTable ,error,HBase,0
4707,Failed to mutate:  |  after  | ms; region information:  | ; errors: ,error,HBase,0
4708,Inserted key tracker thread interrupted,info,HBase,1
4709,Error in inserted/updaed key tracker,error,HBase,0
4710,Number of keys = 0,info,HBase,1
4711,"Keys= | , cols= | , time= |  Overall: [ | keys/s=  | , latency= | %.2f |  ms] |  Current: [ | keys/s= | , latency= | %.2f |  ms]",info,HBase,1
4713,"Error checking data for key [ | ], no data returned",error,HBase,0
4714,"Error checking data for key [ | ], bad family count: ",error,HBase,0
4715,"Error checking data for key [ | ], no data for family [ | ]]",error,HBase,0
4716,"Error checking data for key [ | ], column family [ | ], column [ | ]; value is not found",error,HBase,0
4717,"Error checking data for key [ | ], column family [ | ], column [ | ]; should be deleted",error,HBase,0
4718,"Error checking data for key [ | ], column family [ | ], column [ | ]; value is not found",error,HBase,0
4719,"Error checking data for key [ | ], column family [ | ], column [increment], extra [ | ], amount [ | ]",error,HBase,0
4721,"Error checking data for key [ | ], bad columns for family [ | ]: ",error,HBase,0
4723,"Error checking data for key [ | ], mutation checking failed for column family [ | ], column [ | ]; mutation [ | ], hashCode [ | ], verificationNeeded [ | ]",error,HBase,0
4724,"Error checking data for key [ | ], column family [ | ], column [ | ], mutation [ | ]; value of length ",error,HBase,0
4725,FAILED FOR null Result,info,HBase,1
4726,FAILED FOR  |  Stale ,info,HBase,1
4728,LOCATION ,info,HBase,1
4731,Failed to insert:  |  after  | ms; region information:  | ; errors: ,error,HBase,0
4732,Error closing table,error,HBase,0
4733,Abort why=,error,HBase,0
4735,Starting ZooKeeper on port ,info,HBase,1
4736,Waiting for HBase startup by scanning META,info,HBase,1
4737,Waiting for HBase to startup. Retries left: ,info,HBase,1
4738,Process-based HBase Cluster with  |  region servers up and running... \n\n,info,HBase,1
4740,Error running: ,error,HBase,0
4741,Killing daemons using pid files,info,HBase,1
4742,Could not read pid from file ,error,HBase,0
4743,Killing pid  |  ( | ),info,HBase,1
4744,Error writing to: ,error,HBase,0
4745,Killing  | ; pid=,info,HBase,1
4747,Could not install log4j.properties into ,error,HBase,0
4748,Local  |  web UI is at http:// | :,info,HBase,1
4749,$$$Empty Message$$$,error,HBase,0
4750,Log tailer thread interrupted,error,HBase,0
4751,Unrecognized log path format: ,error,HBase,0
4753,Tailer for  |  interrupted,error,HBase,0
4754,Failed tailing ,error,HBase,0
4755,Error in closing the table ,error,HBase,0
4756,Failed to insert:  |  after  | ms; region information:  | ; errors: ,error,HBase,0
4759,Null result expected for the rowkey ,info,HBase,1
4760,"Failed to update the row with key = [ | ], since we could not get the original row",error,HBase,0
4762,Error closing table,error,HBase,0
4764,"Detected nonce conflict, ignoring: ",info,HBase,1
4765,Failed to mutate:  |  after  | ms; region information:  | ; errors: ,error,HBase,0
4766,Failed to mutate:  |  after  | ms; region information:  | ; errors: ,error,HBase,0
4768,Error closing table,error,HBase,0
4769,Started thread # |  for reads...,info,HBase,1
4774,"[ | ]  | Querying key  | , cfs ",info,HBase,1
4775,"Key =  | , Region location: ",info,HBase,1
4777,"At the time of failure, writer wrote  |  keys",error,HBase,0
4778,Aborting readers -- found more than  |  errors,error,HBase,0
4779,Error while closing the table ,error,HBase,0
4783, Thread failed,error,HBase,0
4785,"FileSystem=*, rootDir=*",info,HBase,1
4786,verifying written log entries.,info,HBase,1
4787,shutting down log roller.,info,HBase,1
4789,seqid=,info,HBase,1
4790,%s took %.3fs %.3fops/s,info,HBase,1
4791,Rolling after  |  edits,info,HBase,1
4792,Using default thrift server type,info,HBase,1
4793,Using thrift server type ,info,HBase,1
4831,$$$Empty Message$$$,error,HBase,0
4838,Read configuration selectorThreads: |  workerThreads: |  stopTimeoutVal: | sec |  acceptQueueSizePerThread: |  acceptPolicy:,info,HBase,1
4839,Kerberos Authentication failed,error,HBase,0
4840,Failed to authenticate with * kerberos principal,info,HBase,1
4842,Elements drained: ,info,HBase,1
4843,Error occurred during listening.,error,HBase,0
4847,Waiting for up to  |  ms to finish processing |  pending requests,info,HBase,1
4848,Interrupting all worker threads and waiting for 5000 ms longer,info,HBase,1
4849,Thrift server shutdown complete,info,HBase,1
4850,Thrift error occurred during processing of message.,error,HBase,0
4851,Error occurred during processing of message.,error,HBase,0
4853,Starting Thrift HTTP Server on *,info,HBase,1
4855,Effective user: *,info,HBase,1
4856,Server types * don't support IP address binding at the moment. See https://issues.apache.org/jira/browse/HBASE-2155 for details.,error,HBase,0
4857,starting HBase * server on *,info,HBase,1
4858,starting HBase Nonblocking Thrift server on ,info,HBase,1
4859,starting HBase HsHA Thrift server on ,info,HBase,1
4860,starting HBase ThreadedSelector Thrift server on ,info,HBase,1
4861,starting HBase ThreadPool Thrift server on ,info,HBase,1
4865,Could not parse the value provided for the port option,error,HBase,0
4867,Could not parse the value provided for the infoport option,error,HBase,0
4868,Stopping infoServer,info,HBase,1
4869,Failed to stop infoServer,error,HBase,0
4870,Problem encountered in shutting down HTTP server,error,HBase,0
4871,Set configuration key: |  value:,info,HBase,1
4872,***** STARTING service ' | ' *****,info,HBase,1
4873,***** STOPPING service ' | ' *****,info,HBase,1
4874,"FAILED_ICV:  | ,  | ,  | ,  | , ",error,HBase,0
4875,TTransportException writing to internal frame buffer,error,HBase,0
4876,Exception writing to internal frame buffer,error,HBase,0
4877,TTransportException inside handler,error,HBase,0
4878,TApplicationException inside handler,error,HBase,0
4879,Exception inside handler,error,HBase,0
4880,Exception writing to internal frame buffer,error,HBase,0
4881,TTransportException writing to internal frame buffer,error,HBase,0
4882,Exception writing to internal frame buffer,error,HBase,0
4883,TTransportException inside handler,error,HBase,0
4884,TApplicationException inside handler,error,HBase,0
4885,Exception inside handler,error,HBase,0
